cust_id,customer_name,email,phone,customer_type,city,state,country,age,registration_date,loyalty_tier,preferred_destination
C0041,Customer 41,customer41@email.com,555-1000041,Registered,Singapore,DXB,Singapore,72,2024-12-23,Bronze,Tokyo
C0042,Customer 42,customer42@email.com,555-1000042,Registered,Singapore,NY,UK,22,2022-05-20,Gold,Bangkok
C0043,Customer 43,customer43@email.com,555-1000043,Registered,Dubai,NY,Singapore,33,2025-03-31,Gold,Tokyo
C0044,Customer 44,customer44@email.com,555-1000044,Registered,Singapore,NY,UAE,60,2025-04-10,Gold,Rome
C0045,Customer 45,customer45@email.com,555-1000045,Guest,Paris,,France,33,2023-06-28,Silver,Bangkok
C0046,Customer 46,customer46@email.com,555-1000046,Registered,Paris,DXB,France,66,2022-05-29,Bronze,Sydney
C0047,Customer 47,customer47@email.com,555-1000047,Registered,Singapore,SG,USA,22,2025-01-06,Bronze,Rome
C0048,Customer 48,customer48@email.com,555-1000048,Registered,London,IDF,USA,74,2023-05-16,Silver,Rome
C0049,Customer 49,customer49@email.com,555-1000049,Registered,London,DXB,Singapore,63,2023-09-12,Gold,Tokyo
C0050,Customer 50,customer50@email.com,555-1000050,Guest,Singapore,IDF,USA,74,2022-10-03,Silver,Tokyo
C0051,Customer 51,customer51@email.com,555-1000051,Registered,New York,SG,UK,35,2023-08-01,Gold,Bangkok
C0052,Customer 52,customer52@email.com,555-1000052,Registered,Paris,,France,50,2024-09-27,Silver,Tokyo
C0053,Customer 53,customer53@email.com,555-1000053,Registered,New York,DXB,France,20,2022-01-08,Silver,Bangkok
C0054,Customer 54,customer54@email.com,555-1000054,Registered,Paris,,UAE,53,2024-05-25,Gold,Tokyo
C0055,Customer 55,customer55@email.com,555-1000055,Guest,New York,NY,UK,52,2022-03-15,Silver,Bangkok
C0056,Customer 56,customer56@email.com,555-1000056,Registered,Dubai,,USA,37,2024-01-17,Bronze,Rome
C0057,Customer 57,customer57@email.com,555-1000057,Registered,London,,USA,40,2025-02-20,Silver,Bangkok
C0058,Customer 58,customer58@email.com,555-1000058,Registered,London,,UK,74,2024-04-24,Bronze,Bangkok
C0059,Customer 59,customer59@email.com,555-1000059,Registered,Paris,DXB,UK,35,2022-11-23,Gold,Tokyo
C0060,Customer 60,customer60@email.com,555-1000060,Guest,Dubai,NY,UAE,32,2023-02-13,Silver,Rome
C0061,Customer 61,customer61@email.com,555-1000061,Registered,Paris,,UK,19,2023-01-31,Silver,Rome
C0062,Customer 62,customer62@email.com,555-1000062,Registered,Paris,NY,France,40,2024-11-09,Silver,Rome
C0063,Customer 63,customer63@email.com,555-1000063,Registered,New York,NY,France,29,2025-04-04,Silver,Tokyo
C0064,Customer 64,customer64@email.com,555-1000064,Registered,New York,SG,UAE,40,2023-10-05,Silver,Tokyo
C0065,Customer 65,customer65@email.com,555-1000065,Guest,Dubai,SG,UK,34,2022-04-01,Gold,Sydney
C0066,Customer 66,customer66@email.com,555-1000066,Registered,New York,SG,Singapore,61,2023-02-08,Silver,Sydney
C0067,Customer 67,customer67@email.com,555-1000067,Registered,New York,IDF,Singapore,38,2022-09-13,Gold,Rome
C0068,Customer 68,customer68@email.com,555-1000068,Registered,Singapore,IDF,UAE,38,2024-04-04,Gold,Rome
C0069,Customer 69,customer69@email.com,555-1000069,Registered,Singapore,,UK,44,2024-02-16,Gold,Bangkok
C0070,Customer 70,customer70@email.com,555-1000070,Guest,Singapore,SG,France,43,2025-01-27,Bronze,Rome
C0071,Customer 71,customer71@email.com,555-1000071,Registered,Paris,,UAE,68,2025-04-02,Gold,Rome
C0072,Customer 72,customer72@email.com,555-1000072,Registered,Dubai,DXB,UAE,61,2023-03-14,Gold,Sydney
C0073,Customer 73,customer73@email.com,555-1000073,Registered,London,NY,France,50,2023-11-18,Bronze,Bangkok
C0074,Customer 74,customer74@email.com,555-1000074,Registered,Paris,,UK,27,2022-02-20,Bronze,Bangkok
C0075,Customer 75,customer75@email.com,555-1000075,Guest,Dubai,SG,USA,47,2024-04-28,Gold,Bangkok
C0076,Customer 76,customer76@email.com,555-1000076,Registered,Dubai,DXB,UAE,33,2022-10-30,Gold,Tokyo
C0077,Customer 77,customer77@email.com,555-1000077,Registered,New York,DXB,UK,29,2024-11-26,Silver,Tokyo
C0078,Customer 78,customer78@email.com,555-1000078,Registered,Singapore,,USA,47,2022-10-01,Silver,Rome
C0079,Customer 79,customer79@email.com,555-1000079,Registered,Dubai,SG,Singapore,45,2025-01-27,Silver,Bangkok
C0080,Customer 80,customer80@email.com,555-1000080,Guest,Dubai,DXB,France,66,2023-05-22,Gold,Rome
C0081,Customer 81,customer81@email.com,555-1000081,Registered,Singapore,DXB,UK,35,2024-06-19,Bronze,Rome
C0082,Customer 82,customer82@email.com,555-1000082,Registered,London,IDF,France,38,2025-01-11,Bronze,Bangkok
C0083,Customer 83,customer83@email.com,555-1000083,Registered,London,,UAE,62,2022-11-09,Gold,Bangkok
C0084,Customer 84,customer84@email.com,555-1000084,Registered,New York,DXB,UAE,39,2025-01-16,Silver,Sydney
C0085,Customer 85,customer85@email.com,555-1000085,Guest,New York,,UAE,42,2025-04-11,Gold,Tokyo
C0086,Customer 86,customer86@email.com,555-1000086,Registered,Singapore,DXB,UAE,18,2023-12-22,Silver,Sydney
C0087,Customer 87,customer87@email.com,555-1000087,Registered,Dubai,SG,Singapore,69,2023-03-28,Silver,Bangkok
C0088,Customer 88,customer88@email.com,555-1000088,Registered,Paris,DXB,UAE,19,2024-03-07,Silver,Sydney
C0089,Customer 89,customer89@email.com,555-1000089,Registered,London,DXB,UK,57,2024-12-29,Bronze,Sydney
C0090,Customer 90,customer90@email.com,555-1000090,Guest,Singapore,SG,USA,23,2024-05-27,Bronze,Sydney
C0091,Customer 91,customer91@email.com,555-1000091,Registered,London,NY,France,42,2023-11-02,Bronze,Sydney
C0092,Customer 92,customer92@email.com,555-1000092,Registered,Paris,IDF,UAE,35,2024-05-13,Silver,Tokyo
C0093,Customer 93,customer93@email.com,555-1000093,Registered,Dubai,NY,Singapore,21,2023-12-18,Bronze,Tokyo
C0094,Customer 94,customer94@email.com,555-1000094,Registered,New York,NY,UK,30,2022-02-11,Gold,Bangkok
C0095,Customer 95,customer95@email.com,555-1000095,Guest,London,,UAE,60,2022-08-23,Gold,Bangkok
C0096,Customer 96,customer96@email.com,555-1000096,Registered,Dubai,IDF,France,28,2022-08-23,Bronze,Rome
C0097,Customer 97,customer97@email.com,555-1000097,Registered,New York,SG,USA,37,2025-03-25,Gold,Sydney
C0098,Customer 98,customer98@email.com,555-1000098,Registered,Dubai,,USA,55,2023-05-13,Bronze,Rome
C0099,Customer 99,customer99@email.com,555-1000099,Registered,Singapore,NY,Singapore,68,2022-03-26,Silver,Sydney
C0100,Customer 100,customer100@email.com,555-1000100,Guest,Paris,NY,Singapore,59,2023-11-30,Bronze,Sydney
C0101,Customer 101,customer101@email.com,555-1000101,Registered,Dubai,NY,UAE,41,2024-07-30,Gold,Bangkok
C0102,Customer 102,customer102@email.com,555-1000102,Registered,Dubai,,Singapore,59,2023-07-08,Gold,Sydney
C0103,Customer 103,customer103@email.com,555-1000103,Registered,Dubai,DXB,Singapore,35,2023-10-23,Bronze,Tokyo
C0104,Customer 104,customer104@email.com,555-1000104,Registered,Paris,DXB,UK,66,2024-08-09,Gold,Sydney
C0105,Customer 105,customer105@email.com,555-1000105,Guest,Paris,NY,UAE,72,2023-10-28,Bronze,Sydney
C0106,Customer 106,customer106@email.com,555-1000106,Registered,London,IDF,France,39,2023-07-27,Gold,Rome
C0107,Customer 107,customer107@email.com,555-1000107,Registered,Singapore,NY,Singapore,30,2022-06-25,Bronze,Sydney
C0108,Customer 108,customer108@email.com,555-1000108,Registered,Dubai,SG,UK,62,2024-09-02,Gold,Sydney
C0109,Customer 109,customer109@email.com,555-1000109,Registered,Dubai,NY,USA,36,2023-03-30,Silver,Bangkok
C0110,Customer 110,customer110@email.com,555-1000110,Guest,Paris,SG,France,48,2025-02-07,Gold,Rome
C0111,Customer 111,customer111@email.com,555-1000111,Registered,Dubai,SG,France,40,2024-07-18,Silver,Rome
C0112,Customer 112,customer112@email.com,555-1000112,Registered,Paris,,USA,64,2023-01-30,Silver,Tokyo
C0113,Customer 113,customer113@email.com,555-1000113,Registered,Singapore,,UK,31,2024-09-18,Silver,Rome
C0114,Customer 114,customer114@email.com,555-1000114,Registered,New York,,France,32,2024-01-10,Bronze,Rome
C0115,Customer 115,customer115@email.com,555-1000115,Guest,New York,SG,UK,35,2022-04-04,Bronze,Rome
C0116,Customer 116,customer116@email.com,555-1000116,Registered,London,DXB,USA,73,2022-01-26,Gold,Rome
C0117,Customer 117,customer117@email.com,555-1000117,Registered,Dubai,DXB,UAE,39,2023-01-13,Bronze,Rome
C0118,Customer 118,customer118@email.com,555-1000118,Registered,Dubai,NY,USA,43,2024-10-04,Bronze,Tokyo
C0119,Customer 119,customer119@email.com,555-1000119,Registered,London,,Singapore,37,2022-06-24,Bronze,Tokyo
C0120,Customer 120,customer120@email.com,555-1000120,Guest,Singapore,DXB,Singapore,56,2023-04-08,Gold,Sydney
C0121,Customer 121,customer121@email.com,555-1000121,Registered,Dubai,DXB,France,73,2024-05-28,Silver,Tokyo
C0122,Customer 122,customer122@email.com,555-1000122,Registered,Singapore,NY,UK,58,2023-03-09,Silver,Tokyo
C0123,Customer 123,customer123@email.com,555-1000123,Registered,London,,UK,53,2022-06-03,Bronze,Tokyo
C0124,Customer 124,customer124@email.com,555-1000124,Registered,Dubai,DXB,Singapore,48,2023-08-20,Bronze,Bangkok
C0125,Customer 125,customer125@email.com,555-1000125,Guest,Paris,IDF,UAE,22,2023-04-24,Silver,Bangkok
C0126,Customer 126,customer126@email.com,555-1000126,Registered,Dubai,NY,Singapore,32,2022-11-02,Silver,Bangkok
C0127,Customer 127,customer127@email.com,555-1000127,Registered,New York,NY,UK,68,2023-09-22,Gold,Rome
C0128,Customer 128,customer128@email.com,555-1000128,Registered,Dubai,NY,UAE,62,2023-09-15,Gold,Sydney
C0129,Customer 129,customer129@email.com,555-1000129,Registered,Paris,SG,Singapore,49,2024-06-15,Bronze,Tokyo
C0130,Customer 130,customer130@email.com,555-1000130,Guest,Dubai,IDF,Singapore,34,2022-02-22,Bronze,Bangkok
C0131,Customer 131,customer131@email.com,555-1000131,Registered,Singapore,SG,USA,66,2023-07-06,Gold,Tokyo
C0132,Customer 132,customer132@email.com,555-1000132,Registered,London,DXB,Singapore,59,2024-06-24,Silver,Bangkok
C0133,Customer 133,customer133@email.com,555-1000133,Registered,Singapore,DXB,UAE,23,2024-08-20,Silver,Sydney
C0134,Customer 134,customer134@email.com,555-1000134,Registered,Paris,IDF,USA,72,2022-11-26,Silver,Sydney
C0135,Customer 135,customer135@email.com,555-1000135,Guest,Dubai,IDF,UAE,70,2025-01-31,Bronze,Sydney
C0136,Customer 136,customer136@email.com,555-1000136,Registered,New York,IDF,France,38,2022-08-26,Silver,Tokyo
C0137,Customer 137,customer137@email.com,555-1000137,Registered,Singapore,DXB,UAE,21,2023-01-20,Gold,Rome
C0138,Customer 138,customer138@email.com,555-1000138,Registered,Singapore,DXB,UAE,66,2022-04-16,Bronze,Rome
C0139,Customer 139,customer139@email.com,555-1000139,Registered,Singapore,,France,46,2024-09-19,Bronze,Tokyo
C0140,Customer 140,customer140@email.com,555-1000140,Guest,Singapore,,UK,37,2025-02-02,Bronze,Sydney
C0141,Customer 141,customer141@email.com,555-1000141,Registered,New York,,USA,47,2022-08-29,Gold,Bangkok
C0142,Customer 142,customer142@email.com,555-1000142,Registered,Dubai,IDF,Singapore,63,2023-07-14,Silver,Sydney
C0143,Customer 143,customer143@email.com,555-1000143,Registered,Dubai,,UAE,53,2022-10-24,Silver,Bangkok
C0144,Customer 144,customer144@email.com,555-1000144,Registered,Singapore,SG,UK,73,2022-05-23,Silver,Sydney
C0145,Customer 145,customer145@email.com,555-1000145,Guest,Paris,SG,France,70,2022-01-06,Silver,Rome
C0146,Customer 146,customer146@email.com,555-1000146,Registered,Singapore,SG,UAE,73,2022-11-01,Silver,Sydney
C0147,Customer 147,customer147@email.com,555-1000147,Registered,Paris,IDF,Singapore,66,2025-01-17,Silver,Sydney
C0148,Customer 148,customer148@email.com,555-1000148,Registered,Paris,,UK,54,2024-02-24,Bronze,Sydney
C0149,Customer 149,customer149@email.com,555-1000149,Registered,New York,IDF,UAE,63,2024-02-20,Silver,Bangkok
C0150,Customer 150,customer150@email.com,555-1000150,Guest,Dubai,NY,UK,50,2023-11-11,Bronze,Sydney
C0151,Customer 151,customer151@email.com,555-1000151,Registered,New York,SG,UAE,18,2022-10-23,Silver,Bangkok
C0152,Customer 152,customer152@email.com,555-1000152,Registered,New York,DXB,France,39,2024-03-25,Gold,Tokyo
C0153,Customer 153,customer153@email.com,555-1000153,Registered,Paris,SG,UAE,38,2024-09-26,Gold,Tokyo
C0154,Customer 154,customer154@email.com,555-1000154,Registered,Singapore,NY,UK,58,2023-08-12,Bronze,Tokyo
C0155,Customer 155,customer155@email.com,555-1000155,Guest,Dubai,NY,USA,46,2022-12-07,Gold,Rome
C0156,Customer 156,customer156@email.com,555-1000156,Registered,New York,NY,France,68,2022-04-25,Silver,Rome
C0157,Customer 157,customer157@email.com,555-1000157,Registered,Paris,DXB,UK,33,2024-12-23,Silver,Bangkok
C0158,Customer 158,customer158@email.com,555-1000158,Registered,London,,USA,57,2024-02-23,Gold,Bangkok
C0159,Customer 159,customer159@email.com,555-1000159,Registered,Dubai,SG,UK,32,2024-08-02,Gold,Rome
C0160,Customer 160,customer160@email.com,555-1000160,Guest,Dubai,IDF,USA,75,2024-08-10,Silver,Bangkok
C0161,Customer 161,customer161@email.com,555-1000161,Registered,New York,DXB,France,55,2023-09-05,Gold,Sydney
C0162,Customer 162,customer162@email.com,555-1000162,Registered,Paris,DXB,France,30,2024-02-27,Silver,Tokyo
C0163,Customer 163,customer163@email.com,555-1000163,Registered,London,DXB,Singapore,40,2025-03-23,Silver,Rome
C0164,Customer 164,customer164@email.com,555-1000164,Registered,New York,DXB,France,18,2025-03-05,Gold,Tokyo
C0165,Customer 165,customer165@email.com,555-1000165,Guest,Singapore,DXB,France,67,2023-04-17,Gold,Rome
C0166,Customer 166,customer166@email.com,555-1000166,Registered,London,,Singapore,34,2022-10-08,Gold,Tokyo
C0167,Customer 167,customer167@email.com,555-1000167,Registered,New York,IDF,UAE,20,2025-04-01,Silver,Bangkok
C0168,Customer 168,customer168@email.com,555-1000168,Registered,New York,IDF,France,65,2024-04-30,Bronze,Bangkok
C0169,Customer 169,customer169@email.com,555-1000169,Registered,London,SG,France,51,2024-10-24,Silver,Bangkok
C0170,Customer 170,customer170@email.com,555-1000170,Guest,Paris,DXB,France,65,2023-11-25,Bronze,Sydney
C0171,Customer 171,customer171@email.com,555-1000171,Registered,New York,,UK,73,2024-03-24,Gold,Rome
C0172,Customer 172,customer172@email.com,555-1000172,Registered,New York,DXB,USA,34,2025-01-03,Bronze,Sydney
C0173,Customer 173,customer173@email.com,555-1000173,Registered,Paris,IDF,Singapore,42,2024-01-31,Bronze,Bangkok
C0174,Customer 174,customer174@email.com,555-1000174,Registered,Dubai,NY,Singapore,74,2025-02-23,Silver,Bangkok
C0175,Customer 175,customer175@email.com,555-1000175,Guest,New York,DXB,France,59,2024-04-16,Bronze,Bangkok
C0176,Customer 176,customer176@email.com,555-1000176,Registered,New York,NY,France,49,2022-08-26,Bronze,Bangkok
C0177,Customer 177,customer177@email.com,555-1000177,Registered,Singapore,,UAE,47,2024-01-30,Gold,Sydney
C0178,Customer 178,customer178@email.com,555-1000178,Registered,Singapore,,UAE,59,2022-07-22,Silver,Sydney
C0179,Customer 179,customer179@email.com,555-1000179,Registered,Paris,NY,France,31,2024-06-27,Silver,Bangkok
C0180,Customer 180,customer180@email.com,555-1000180,Guest,Paris,NY,France,52,2024-01-05,Bronze,Sydney
C0181,Customer 181,customer181@email.com,555-1000181,Registered,Paris,,USA,72,2024-07-20,Bronze,Bangkok
C0182,Customer 182,customer182@email.com,555-1000182,Registered,Singapore,NY,USA,68,2023-11-15,Bronze,Bangkok
C0183,Customer 183,customer183@email.com,555-1000183,Registered,Singapore,,USA,71,2025-02-09,Bronze,Bangkok
C0184,Customer 184,customer184@email.com,555-1000184,Registered,London,IDF,UK,68,2022-01-06,Silver,Bangkok
C0185,Customer 185,customer185@email.com,555-1000185,Guest,London,SG,France,69,2022-12-24,Bronze,Tokyo
C0186,Customer 186,customer186@email.com,555-1000186,Registered,London,NY,France,68,2023-05-03,Gold,Rome
C0187,Customer 187,customer187@email.com,555-1000187,Registered,New York,,France,21,2022-09-17,Gold,Sydney
C0188,Customer 188,customer188@email.com,555-1000188,Registered,Singapore,NY,USA,48,2024-07-07,Silver,Tokyo
C0189,Customer 189,customer189@email.com,555-1000189,Registered,Dubai,SG,UK,57,2022-03-30,Gold,Rome
C0190,Customer 190,customer190@email.com,555-1000190,Guest,Dubai,NY,USA,48,2024-04-02,Silver,Tokyo
C0191,Customer 191,customer191@email.com,555-1000191,Registered,Dubai,DXB,USA,75,2022-06-15,Silver,Bangkok
C0192,Customer 192,customer192@email.com,555-1000192,Registered,New York,,France,57,2025-04-13,Gold,Rome
C0193,Customer 193,customer193@email.com,555-1000193,Registered,Dubai,SG,Singapore,36,2024-07-18,Gold,Sydney
C0194,Customer 194,customer194@email.com,555-1000194,Registered,New York,NY,Singapore,64,2023-03-17,Silver,Sydney
C0195,Customer 195,customer195@email.com,555-1000195,Guest,London,DXB,France,70,2024-07-17,Silver,Sydney
C0196,Customer 196,customer196@email.com,555-1000196,Registered,New York,IDF,UAE,38,2023-06-07,Silver,Bangkok
C0197,Customer 197,customer197@email.com,555-1000197,Registered,Dubai,NY,USA,71,2022-06-24,Bronze,Sydney
C0198,Customer 198,customer198@email.com,555-1000198,Registered,New York,IDF,UK,53,2022-05-03,Gold,Rome
C0199,Customer 199,customer199@email.com,555-1000199,Registered,New York,DXB,France,73,2024-05-16,Gold,Tokyo
C0200,Customer 200,customer200@email.com,555-1000200,Guest,Paris,SG,France,40,2022-08-01,Gold,Bangkok
